|CCF|RV|RV_err|addmode|vbary|identifier|SpT|configuration|Instrument|Date|Temperature|Velocity|vsini_sec|feh|significance|Comments|Rank|Keck|VLT|Gemini|Imaging_Detecton|best_addmode|parsed_date|Tmeas|Tmeas_err|UT_date
0|0.3557659922|7.2422553442|0.1972617716|ml|22.67|HIP 2548|B9.5V|"  (5.70(5.84B9.5V + 7.99; 25.55y  e=.80) + 9.61; 27.5"")"|HET|20130812|5600|6.985|30|-0.5|29.0558297554|Confirmed|1|n|Y|n||simple|2013-08-12|5600.04766806|215.998030575|2013-08-12
1|0.3480658236|7.3034955484|0.2072932834|dc|22.67|HIP 2548|B9.5V|"  (5.70(5.84B9.5V + 7.99; 25.55y  e=.80) + 9.61; 27.5"")"|HET|20130812|5600|6.985|30|-0.5|29.0558297554|Confirmed|1|n|Y|n||simple|2013-08-12|5600.04766806|215.998030575|2013-08-12
2|0.2995762924|7.3666535801|0.2586029771|simple|22.67|HIP 2548|B9.5V|"  (5.70(5.84B9.5V + 7.99; 25.55y  e=.80) + 9.61; 27.5"")"|HET|20130812|5600|6.985|30|-0.5|29.0558297554|Confirmed|1|n|Y|n||simple|2013-08-12|5600.04766806|215.998030575|2013-08-12
3|0.12038096|||ml|24.39|HIP 2548|B9.5V|"  (5.70(5.84B9.5V + 7.99; 25.55y  e=.80) + 9.61; 27.5"")"|IGRINS|20150806|6000|2.853|30|0|8.796868428|Confirmed. Not detected with addmode=ml, and only marginally with simple|1|n|Y|n||simple|2015-08-06|6000.00818018|216.001275377|2015-08-06
4|0.119809778|||dc|24.39|HIP 2548|B9.5V|"  (5.70(5.84B9.5V + 7.99; 25.55y  e=.80) + 9.61; 27.5"")"|IGRINS|20150806|6000|2.853|30|0|8.796868428|Confirmed. Not detected with addmode=ml, and only marginally with simple|1|n|Y|n||simple|2015-08-06|6000.00818018|216.001275377|2015-08-06
5|0.0882441606|2.8095903539|1.2284353425|simple|24.39|HIP 2548|B9.5V|"  (5.70(5.84B9.5V + 7.99; 25.55y  e=.80) + 9.61; 27.5"")"|IGRINS|20150806|6000|2.853|30|0|8.796868428|Confirmed. Not detected with addmode=ml, and only marginally with simple|1|n|Y|n||simple|2015-08-06|6000.00818018|216.001275377|2015-08-06
6|0.1914480461|-22.6743153867|0.0967296422|ml|-23.16|HIP 3478|B5V|  B5V|TS23|20140112|5800|-46.17|5|-0.5|31.0993615098|Very nice looking peak. Tens of sigma. This exists, damnit!|7|n|n|n||simple|2014-01-12|5799.80274502|215.990024802|2014-01-12
7|0.190161392|-22.6690623292|0.0980037816|dc|-23.16|HIP 3478|B5V|  B5V|TS23|20140112|5800|-46.17|5|-0.5|31.0993615098|Very nice looking peak. Tens of sigma. This exists, damnit!|7|n|n|n||simple|2014-01-12|5799.80274502|215.990024802|2014-01-12
8|0.1748396979|-22.6358572938|0.1057624342|simple|-23.16|HIP 3478|B5V|  B5V|TS23|20140112|5800|-46.17|5|-0.5|31.0993615098|Very nice looking peak. Tens of sigma. This exists, damnit!|7|n|n|n||simple|2014-01-12|5799.80274502|215.990024802|2014-01-12
9|0.0954563231|7.8252306145|0.8393492363|ml|0.62|HIP 5310|A3V|  (A3V + ?; ?)|IGRINS|20141014|3400|4.825|30|0|13.2448712865|Needs follow-up|3|Y|n|Y||simple|2014-10-14|3399.87177049|215.846391367|2014-10-15
