star,date,HJD,teff,logg,feh,vsini,addmode,rv_meas,rv_meas_err,ccf,instrument,mcmc_logg,mcmc_rv,mcmc_rv_err,mcmc_teff,mcmc_vsini,filename,o2_rv,o2_rv_err,h2o_rv,h2o_rv_err,name,rv_lit,rv_lit_err,o_RV,eRV,wds_binary,sb9_binary,my_binary,separation,K1,known_binary
HD 23479,2014-10-17,2456947.86974,7000,4.5,0.0,250,ml,3.87616218697,1.66651770555,0.757791520138,IGRINS,,,,,,,0.0,,0.0,,,,,,,,,,,,False
HD 23489,2014-10-17,2456947.88763,9000,4.5,0.0,150,ml,-5.56477665129,1.38261351565,0.850269594285,IGRINS,,,,,,,0.0,,0.0,,,,,,,,,,,,False
HD 23567,2014-10-18,2456948.79106,7000,4.5,0.0,40,ml,7.19197933771,0.264279188788,0.799977628412,IGRINS,,,,,,,0.0,,0.0,,,,,,,,,,,,False
HD 23629,2014-10-18,2456948.81836,10000,4.5,0.0,250,ml,-4.47033148423,1.39433870241,0.866131170385,IGRINS,,,,,,,0.0,,0.0,,,,,,,,,,,,False
HD 23643,2014-10-18,2456948.83116,9000,4.5,0.0,250,ml,1.55525199314,1.24873000277,0.863578703365,IGRINS,,,,,,,0.0,,0.0,,,,,,,,,,,,False
HD 23733,2014-10-18,2456948.842,8000,4.5,0.0,40,ml,1.50366918025,0.480057356012,0.770712892125,IGRINS,,,,,,,0.0,,0.0,,,,,,,,,,,,False
HD 23791,2014-10-18,2456948.87926,7000,4.5,0.0,80,ml,9.05687363184,0.441397337768,0.798252505808,IGRINS,,,,,,,0.0,,0.0,,,,,,,,,,,,False
HD 23863,2014-10-18,2456948.89518,8000,4.5,0.0,150,ml,4.83093957741,1.08843809932,0.83229206839,IGRINS,,,,,,,0.0,,0.0,,,,,,,,,,,,False
HD 23872,2014-10-18,2456948.90996,9000,4.5,0.0,250,ml,-5.96746702012,1.23034903011,0.864875812434,IGRINS,,,,,,,0.0,,0.0,,,,,,,,,,,,False
HD 23886,2014-10-18,2456948.92712,9000,4.5,0.0,150,ml,5.13078120614,1.27104155446,0.832745997297,IGRINS,,,,,,,0.0,,0.0,,,,,,,,,,,,False
HD 23924,2014-10-18,2456948.93581,8000,4.5,0.0,40,ml,4.97881649486,0.2947936295,0.814339833552,IGRINS,,,,,,,0.0,,0.0,,,,,,,,,,,,False
HIP 100221,2015-07-27,2457230.72294,9000,4.5,0.0,150,ml,-8.87085895131,0.839941498835,0.898300396027,IGRINS,,,,,,,0.0,,0.0,,HIP 100221,,,,,0.0,,1.0,,49.7000007629,True
HIP 100907,2014-10-16,2456946.57153,8000,4.5,0.0,150,ml,1.31822063609,0.985293729967,0.873047058738,IGRINS,,,,,,,0.0,,0.0,,HIP 100907,0.4,2.9,1.0,,0.0,0.0,1.0,,,True
