#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-12-21T22:48:12 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5678817e2ad9	
#INFO	-out.max=unlimited	
#INFO	queryParameters=31	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/AJ/144/130&tab:{J/AJ/144/130/table2}&key:source=J/AJ/144/130/table2&HTTPPRM:&&-ref=VIZ5678817e2ad9&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/144/130/table2
#-order=I
#-out=HIP
#-out=SpT
#-out=Vmag
#-out=Q
#-out=Teff
#-out=FWHM1
#-out=FWHM2
#-out=FWHM3
#-out=vsini1
#-out=vsini2
#-out=vsini3
#-out=<vsini>
#-out=e_<vsini>
#-out=N
#-out=M
#-out=Simbad
#Simbad=Simbad
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_51440130
#Name: J/AJ/144/130
#Title: Rotational velocities of nearby HIP B stars (Braganca+, 2012)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_AJ_144_130_table2:
#Name: J/AJ/144/130/table2
#Title: vsini results for the entire sample
#Column	_RAJ2000	(F9.5)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000. (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F9.5)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000. (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	HIP	(I6)	[14898/101909] HIPPARCOS number	[ucd=meta.id;meta.main]
#Column	SpT	(a8)	Spectral type	[ucd=src.spType]
#Column	Vmag	(F5.2)	[2.81/10.68]? Apparent V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	Q	(F5.2)	Value of the classical reddening free parameter Q (1)	[ucd=phot.color.reddFree]
#Column	Teff	(I5)	[14610/35300] Effective temperature (2)	[ucd=phys.temperature.effective]
#Column	FWHM1	(F4.1)	[0.9/8]? HeI 4026{AA} FWHM; in {AA}	[ucd=spect.line.width;spect.line]
#Column	FWHM2	(F4.1)	[0.7/8.9]? HeI 4388{AA} FWHM; in {AA}	[ucd=spect.line.width;spect.line]
#Column	FWHM3	(F4.1)	[0.7/8.8]? HeI 4471{AA} FWHM; in {AA}	[ucd=spect.line.width]
#Column	vsini1	(I3)	? HeI 4026{AA} projected rotational velocity [NULL integer written as an empty string]	[ucd=phys.veloc.rotat]
#Column	vsini2	(I3)	? HeI 4388{AA} projected rotational velocity [NULL integer written as an empty string]	[ucd=phys.veloc.rotat]
#Column	vsini3	(I3)	? HeI 4471{AA} projected rotational velocity [NULL integer written as an empty string]	[ucd=phys.veloc.rotat]
#Column	<vsini>	(I3)	? Mean projected rotational velocity [NULL integer written as an empty string]	[ucd=phys.veloc.rotat]
#Column	e_<vsini>	(I2)	? Standard deviation in <vsini> between the available measures [NULL integer written as an empty string]	[ucd=stat.error;phys.veloc.rotat]
#Column	N	(I1)	Number of HeI lines used	[ucd=meta.number]
#Column	M	(A3)	[ACR.? ] Membership classification (A=association, C=cluster, R=runaway star)	[ucd=meta.code.member]
#Column	Simbad	(a6)	ask the {\bf\fg{FireBrick}Simbad} data-base about this object	[ucd=meta.ref]
#Column	_RA	(F9.5)	Positions from SIMBAD database (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from SIMBAD database (declination part)	[ucd=pos.eq.dec;meta.main]
_RAJ2000|_DEJ2000|HIP|SpT|Vmag|Q|Teff|FWHM1|FWHM2|FWHM3|vsini1|vsini2|vsini3|<vsini>|e_<vsini>|N|M|Simbad|_RA|_DE
deg|deg| | |mag| |K|0.1nm|0.1nm|0.1nm|km/s|km/s|km/s|km/s|km/s| | | |deg|deg
---------|---------|------|--------|-----|-----|-----|----|----|----|---|---|---|---|--|-|---|------|---------|---------
048.06408|-20.61959| 14898|B5V     | 7.03|-0.41|14610|    | 1.0| 0.7|   |  5|  4|  4| 1|2|R  |Simbad|048.06408|-20.61959
048.94111|-16.82875| 15188|B3Ve    | 7.96|-0.53|17290| 4.2| 3.9| 3.7|153|151|118|141|19|3|R  |Simbad|048.94111|-16.82875
053.01985|-21.24757| 16466|B4V     | 9.32|-0.51|16780| 1.7| 1.5| 1.0| 22| 30|   | 26| 5|2|R  |Simbad|053.01985|-21.24757
060.85311|-20.14380| 18926|B3V     | 6.45|-0.62|19930| 5.7| 5.7| 5.4|234|235|194|221|23|3|   |Simbad|060.85311|-20.14380
060.93585|+05.43562| 18957|B3V     | 5.31|-0.50|16540| 1.8| 1.6| 1.2| 28| 33| 23| 28| 5|3|   |Simbad|060.93585|+05.43562
067.13383|+01.38082| 20884|B3V     | 5.53|-0.48|16070| 1.4| 1.4| 0.9| 15|   | 11| 13| 3|2|A  |Simbad|067.13383|+01.38082
074.43619|-14.23192| 23060|B2V     | 6.13|-0.71|23280| 2.1| 1.3| 1.1| 31| 20|   | 26| 8|2|R  |Simbad|074.43619|-14.23192
075.35977|-07.17396| 23364|B3V     | 4.81|-0.61|19600| 2.5| 2.1| 1.8| 52| 60| 44| 52| 8|3|   |Simbad|075.35977|-07.17396
079.20110|-17.14234| 24618|B2V     | 6.53|-0.59|18980| 1.6| 1.3| 1.0|  6| 16|   | 11| 6|3|   |Simbad|079.20110|-17.14234
081.40208|-01.49129| 25368|B3V     | 6.42|-0.59|18980| 3.0| 2.7| 2.6| 82| 91| 77| 84| 7|3|A  |Simbad|081.40208|-01.49129
081.74652|-02.36065| 25480|B4V     | 6.62|-0.60|19290| 5.6| 5.0| 5.9|230|203|219|217|14|3|A  |Simbad|081.74652|-02.36065
081.78460|+03.85555| 25493|B2V     | 6.73|-0.60|19290| 3.4| 3.0| 3.5|100|106|104|103| 3|3|A  |Simbad|081.78460|+03.85555
081.78906|-01.36735| 25496|B3V     | 7.19|-0.52|17030| 2.2| 1.9| 1.5| 45| 48| 38| 44| 5|3|A.R|Simbad|081.78906|-01.36735
082.00613|+01.29825| 25582|B2V     | 6.38|-0.63|20260| 1.4| 1.4| 1.1|   | 21|   | 21|  |1|A.R|Simbad|082.00613|+01.29825
082.47822|+01.78926| 25751|B2V     | 5.74|-0.70|22870| 3.2| 3.0| 3.6| 98|114|112|108| 9|3|A.R|Simbad|082.47822|+01.78926
082.75654|+12.09677| 25844|B3V     | 7.63|-0.57|18380| 1.9| 1.8| 1.3| 22|   | 22| 22| 1|2|   |Simbad|082.75654|+12.09677
082.77091|+03.35327| 25850|B2V     | 7.95|-0.68|22070| 3.4| 3.2| 3.8|104|123|120|116|10|3|A  |Simbad|082.77091|+03.35327
082.83705|-06.70838| 25869|B2V     | 6.20|-0.61|19600| 2.1| 1.6| 1.2| 23| 32|   | 27| 7|2|A  |Simbad|082.83705|-06.70838
082.87453|+01.69004| 25881|B3V     | 7.56|-0.52|17030| 1.8| 1.8| 1.4| 27|   | 33| 30| 4|2|A  |Simbad|082.87453|+01.69004
082.98275|-07.30154| 25923|O9V     | 4.62|-0.92|35300|    |    |    |   |   |   |   |  |0|   |Simbad|082.98275|-07.30154
083.47619|+14.30558| 26093|B3V     | 5.59|-0.53|17290| 3.6| 3.4| 3.5|118|129|109|118|10|3|C  |Simbad|083.47619|+14.30558
083.48994|+01.40765| 26098|B2V     | 6.57|-0.68|22070| 3.9| 3.8| 4.3|135|151|145|143| 8|3|A.R|Simbad|083.48994|+01.40765
083.68066|+05.66088| 26166|B3V     | 6.71|-0.59|18980| 3.4| 3.8| 3.7|102|   |115|108| 9|2|A  |Simbad|083.68066|+05.66088
083.88069|-05.26738| 26258|O9V     | 6.87|-0.88|32420| 4.0| 4.1| 4.5|161|173|169|168| 6|3|C  |Simbad|083.88069|-05.26738
