teff,vsini,addmode,rms
7000,50,dc,0.0125710530108
7000,50,ml,0.0120049502602
7000,50,simple,0.0125879463227
7000,75,dc,0.0714275358965
7000,75,ml,0.0488414670105
7000,75,simple,0.0731194252755
7000,100,dc,0.149843996319
7000,100,ml,0.116880460325
7000,100,simple,0.153432408866
7000,125,dc,0.154861469531
7000,125,ml,0.135752697548
7000,125,simple,0.161481824449
7000,150,dc,0.202907826063
7000,150,ml,0.155987203803
7000,150,simple,0.209200473371
7000,175,dc,0.37467822827
7000,175,ml,0.24696447916
7000,175,simple,0.396427737655
7000,200,dc,0.428209468705
7000,200,ml,0.447060464848
7000,200,simple,0.445451267778
7000,225,dc,0.318438418609
7000,225,ml,0.311392277693
7000,225,simple,0.376034863314
7000,250,dc,0.322519761085
7000,250,ml,0.46039968557
7000,250,simple,0.387726477278
7000,275,dc,0.557603317753
7000,275,ml,0.685427004704
7000,275,simple,0.705906322428
7000,300,dc,0.657874342779
7000,300,ml,0.550880317429
7000,300,simple,0.855015188974
8000,50,dc,0.0199839283871
8000,50,ml,0.0163782735597
8000,50,simple,0.0198029807247
8000,75,dc,0.0492178009552
8000,75,ml,0.0379352118967
8000,75,simple,0.0495566749211
8000,100,dc,0.132926665314
8000,100,ml,0.0852496568475
8000,100,simple,0.135151515488
8000,125,dc,0.123684634373
8000,125,ml,0.0991046917899
8000,125,simple,0.126828219803
8000,150,dc,0.119665786529
8000,150,ml,0.108481122842
8000,150,simple,0.125224339274
8000,175,dc,0.188736959574
8000,175,ml,0.252230252453
8000,175,simple,0.187852819626
8000,200,dc,0.395558381652
8000,200,ml,0.375743095137
8000,200,simple,0.388471085372
8000,225,dc,0.488910363585
8000,225,ml,0.502928800984
8000,225,simple,0.485005882742
8000,250,dc,0.780165310995
8000,250,ml,0.246641759874
8000,250,simple,0.799524967395
8000,275,dc,0.677087726242
8000,275,ml,0.433310773653
8000,275,simple,0.735577602904
8000,300,dc,0.566643012028
8000,300,ml,0.615487495723
8000,300,simple,0.598008379451
9000,50,dc,0.041523641631
9000,50,ml,0.0284997803014
9000,50,simple,0.0441752955855
9000,75,dc,0.0926673783437
9000,75,ml,0.0562302423149
9000,75,simple,0.102405187272
9000,100,dc,0.117612828344
9000,100,ml,0.0808387474081
9000,100,simple,0.1299738978
9000,125,dc,0.142913446929
9000,125,ml,0.113559206369
9000,125,simple,0.15613313635
9000,150,dc,0.280750594698
9000,150,ml,0.225563528374
9000,150,simple,0.297840371001
9000,175,dc,0.373245811608
9000,175,ml,0.367621924104
9000,175,simple,0.395167597906
9000,200,dc,0.597248977396
9000,200,ml,0.572452023614
9000,200,simple,0.616581842893
9000,225,dc,0.665548463408
9000,225,ml,0.653355875934
9000,225,simple,0.676101913039
9000,250,dc,0.811567023189
9000,250,ml,0.854891201952
9000,250,simple,0.791799136752
9000,275,dc,1.01020222459
9000,275,ml,1.25311436601
9000,275,simple,0.920527058623
