teff,vsini,addmode,rms
7000,50,dc,0.0147095230477
7000,50,ml,0.013261830555
7000,50,simple,0.0153271165378
7000,75,dc,0.0314684046879
7000,75,ml,0.0299238295223
7000,75,simple,0.0343293025633
7000,100,dc,0.054185862372
7000,100,ml,0.0531146830967
7000,100,simple,0.068314677498
7000,125,dc,0.143934015958
7000,125,ml,0.106734634534
7000,125,simple,0.161559953267
7000,150,dc,0.137917471529
7000,150,ml,0.162293124791
7000,150,simple,0.149964604112
7000,175,dc,0.284544556357
7000,175,ml,0.263958230007
7000,175,simple,0.350156791546
7000,200,dc,0.74056387269
7000,200,ml,0.346252422139
7000,200,simple,0.912820099875
7000,225,dc,1.06750240705
7000,225,ml,0.460549814285
7000,225,simple,1.26978959312
7000,250,dc,0.908161113321
7000,250,ml,0.505667251997
7000,250,simple,1.09740477058
7000,275,dc,1.19111596872
7000,275,ml,0.661168044113
7000,275,simple,1.44100082616
7000,300,dc,1.27274685485
7000,300,ml,0.559045598486
7000,300,simple,1.63579628293
8000,50,dc,0.0201555271241
8000,50,ml,0.0181762368331
8000,50,simple,0.021802437736
8000,75,dc,0.0427676910282
8000,75,ml,0.0347600361705
8000,75,simple,0.046474714724
8000,100,dc,0.0601257851805
8000,100,ml,0.0478969009768
8000,100,simple,0.0660930473747
8000,125,dc,0.0911259490266
8000,125,ml,0.0670341679022
8000,125,simple,0.0930983517305
8000,150,dc,0.134454252673
8000,150,ml,0.12110708325
8000,150,simple,0.127477224705
8000,175,dc,0.117974050268
8000,175,ml,0.119695269441
8000,175,simple,0.135143113763
8000,200,dc,0.366182545484
8000,200,ml,0.243277524879
8000,200,simple,0.455759856371
8000,225,dc,0.285690389554
8000,225,ml,0.224171216922
8000,225,simple,0.380897616277
8000,250,dc,0.248224572752
8000,250,ml,0.342971228087
8000,250,simple,0.334333656073
8000,275,dc,0.422176632825
8000,275,ml,0.410598495117
8000,275,simple,0.561036011562
8000,300,dc,0.48182903405
8000,300,ml,0.701093172682
8000,300,simple,0.672176174747
9000,50,dc,0.0465244328989
9000,50,ml,0.0335588538614
9000,50,simple,0.051452705445
9000,75,dc,0.0680511293257
9000,75,ml,0.0601078327988
9000,75,simple,0.0757416806213
9000,100,dc,0.103316936035
9000,100,ml,0.0728744640898
9000,100,simple,0.121661947452
9000,125,dc,0.141758731692
9000,125,ml,0.0945523525246
9000,125,simple,0.149933533133
9000,150,dc,0.195880548048
9000,150,ml,0.151780390712
9000,150,simple,0.221141403462
9000,175,dc,0.318910443388
9000,175,ml,0.268498909461
9000,175,simple,0.337392519961
9000,200,dc,0.323988498805
9000,200,ml,0.208373088514
9000,200,simple,0.414703840979
9000,225,dc,0.47079287641
9000,225,ml,0.290418702747
9000,225,simple,0.471910895156
9000,250,dc,0.34128766495
9000,250,ml,0.328195541678
9000,250,simple,0.38507894458
9000,275,dc,0.674499038847
9000,275,ml,0.738525593613
9000,275,simple,0.730404676797
9000,300,dc,0.630713329551
9000,300,ml,0.819604635051
9000,300,simple,0.714655093891
10000,50,dc,0.0709325255882
10000,50,ml,0.0493268416843
10000,50,simple,0.0807705757111
10000,75,dc,0.120714500362
10000,75,ml,0.0881740432833
10000,75,simple,0.141234504356
10000,100,dc,0.144031260034
10000,100,ml,0.106365356914
10000,100,simple,0.177814344111
10000,125,dc,0.227117224569
10000,125,ml,0.164828809055
10000,125,simple,0.292179486567
10000,150,dc,0.319812695255
10000,150,ml,0.239811487365
10000,150,simple,0.391725038461
10000,175,dc,0.363661566639
10000,175,ml,0.308360917729
10000,175,simple,0.461864674878
10000,200,dc,0.495678768081
10000,200,ml,0.413245009957
10000,200,simple,0.660736865351
10000,225,dc,0.532350804021
10000,225,ml,0.455514575153
10000,225,simple,0.691169775239
10000,250,dc,0.794283924283
10000,250,ml,0.596328306089
10000,250,simple,1.07001013676
10000,275,dc,1.06553938906
10000,275,ml,0.898123922243
10000,275,simple,1.34693549866
10000,300,dc,0.996704211516
10000,300,ml,1.17291299954
10000,300,simple,1.16658090332
12000,50,dc,0.0725012741429
12000,50,ml,0.0575199749346
12000,50,simple,0.0760856126744
12000,75,dc,0.133783811549
12000,75,ml,0.0977645660046
12000,75,simple,0.14972863394
12000,100,dc,0.171384454223
12000,100,ml,0.147025303332
12000,100,simple,0.18623710886
12000,125,dc,0.303787541732
12000,125,ml,0.251969018108
12000,125,simple,0.326880863625
12000,150,dc,0.365960814349
12000,150,ml,0.316523180206
12000,150,simple,0.41980232631
12000,175,dc,0.50437292964
12000,175,ml,0.355099788224
12000,175,simple,0.604309053924
12000,200,dc,0.536910837595
12000,200,ml,0.427518723805
12000,200,simple,0.628112588653
12000,225,dc,0.728759753139
12000,225,ml,0.50973822015
12000,225,simple,0.915827171644
12000,250,dc,0.71695107812
12000,250,ml,0.536742130377
12000,250,simple,0.890747069135
12000,275,dc,0.985029646748
12000,275,ml,0.725432031825
12000,275,simple,1.24054356938
12000,300,dc,0.927885955745
12000,300,ml,0.780007536945
12000,300,simple,1.02560518722
14000,50,dc,0.0719078121965
14000,50,ml,0.0612508605252
14000,50,simple,0.0732619795059
14000,75,dc,0.138751905128
14000,75,ml,0.0900736396209
14000,75,simple,0.145775295258
14000,100,dc,0.217997169849
14000,100,ml,0.163326474397
14000,100,simple,0.219338123483
14000,125,dc,0.26466474777
14000,125,ml,0.215679269254
14000,125,simple,0.286242952153
14000,150,dc,0.330673274865
14000,150,ml,0.255796160314
14000,150,simple,0.351384454467
14000,175,dc,0.449295160109
14000,175,ml,0.334309603422
14000,175,simple,0.498993588566
14000,200,dc,0.570148327876
14000,200,ml,0.447124094808
14000,200,simple,0.633937273209
14000,225,dc,0.705647996724
14000,225,ml,0.554041778179
14000,225,simple,0.819061616128
14000,250,dc,0.798693770081
14000,250,ml,0.58193705362
14000,250,simple,0.944080442908
14000,275,dc,1.47526090019
14000,275,ml,0.972580901949
14000,275,simple,1.70798666139
14000,300,dc,1.26687383128
14000,300,ml,0.883384724403
14000,300,simple,1.47035171645
16000,50,dc,0.0778278474493
16000,50,ml,0.054604121729
16000,50,simple,0.0813595761468
16000,75,dc,0.148651886809
16000,75,ml,0.082194284398
16000,75,simple,0.15362163493
16000,100,dc,0.176052707487
16000,100,ml,0.125876758755
16000,100,simple,0.188793904177
16000,125,dc,0.308088576656
16000,125,ml,0.196140559389
16000,125,simple,0.342740259506
16000,150,dc,0.378976617718
16000,150,ml,0.26672717541
16000,150,simple,0.400856859038
16000,175,dc,0.470339669483
16000,175,ml,0.371925307249
16000,175,simple,0.518899315289
16000,200,dc,0.660271956184
16000,200,ml,0.500686488276
16000,200,simple,0.696642997902
16000,225,dc,0.625273173709
16000,225,ml,0.5094933914
16000,225,simple,0.720959663717
16000,250,dc,0.870857300839
16000,250,ml,0.675294305188
16000,250,simple,0.906849317893
16000,275,dc,1.00693947251
16000,275,ml,0.759517877396
16000,275,simple,1.07551995401
16000,300,dc,1.21696940444
16000,300,ml,0.738276537954
16000,300,simple,1.40352400338
18000,50,dc,0.0886788689224
18000,50,ml,0.0482088681204
18000,50,simple,0.0958814756664
18000,75,dc,0.13670967829
18000,75,ml,0.0764792073872
18000,75,simple,0.14110835036
18000,100,dc,0.226618521156
18000,100,ml,0.12521591
18000,100,simple,0.257530972816
18000,125,dc,0.264371904434
18000,125,ml,0.158689901729
18000,125,simple,0.290968379679
18000,150,dc,0.352889677565
18000,150,ml,0.208479245887
18000,150,simple,0.38055013765
18000,175,dc,0.442093978618
18000,175,ml,0.273951767859
18000,175,simple,0.477307232955
18000,200,dc,0.412205723424
18000,200,ml,0.340243701008
18000,200,simple,0.448449991411
18000,225,dc,0.642602989875
18000,225,ml,0.52444058971
18000,225,simple,0.699377191221
18000,250,dc,0.841820091863
18000,250,ml,0.548455219058
18000,250,simple,0.828131669991
18000,275,dc,0.816806892747
18000,275,ml,0.600873501571
18000,275,simple,0.887054946651
18000,300,dc,0.952058861538
18000,300,ml,0.602339074722
18000,300,simple,0.946632387584
20000,50,dc,0.0758998542017
20000,50,ml,0.0383847560229
20000,50,simple,0.0830104190971
20000,75,dc,0.154800977968
20000,75,ml,0.0735249264807
20000,75,simple,0.172860433638
20000,100,dc,0.183486477079
20000,100,ml,0.113361974652
20000,100,simple,0.205231614628
20000,125,dc,0.266723896002
20000,125,ml,0.161649544334
20000,125,simple,0.314612464805
20000,150,dc,0.338689083031
20000,150,ml,0.177214818196
20000,150,simple,0.399637229248
20000,175,dc,0.446407926158
20000,175,ml,0.244655007418
20000,175,simple,0.513392307625
20000,200,dc,0.469267059468
20000,200,ml,0.259325844781
20000,200,simple,0.549610176909
20000,225,dc,0.81229482118
20000,225,ml,0.497229865262
20000,225,simple,0.856260552298
20000,250,dc,1.05187861668
20000,250,ml,0.481472427971
20000,250,simple,1.1038337677
20000,275,dc,1.1777083673
20000,275,ml,0.511988997048
20000,275,simple,1.34966775897
20000,300,dc,1.084653705
20000,300,ml,0.530356308631
20000,300,simple,1.35473533839
22000,50,dc,0.0850817022884
22000,50,ml,0.0434829899644
22000,50,simple,0.0898370443067
22000,75,dc,0.130058783651
22000,75,ml,0.0702269211672
22000,75,simple,0.145402417836
22000,100,dc,0.184859320653
22000,100,ml,0.12660206034
22000,100,simple,0.19816490502
22000,125,dc,0.283438253067
22000,125,ml,0.159892596568
22000,125,simple,0.319034959376
22000,150,dc,0.354476707287
22000,150,ml,0.197442350588
22000,150,simple,0.382386960095
22000,175,dc,0.447597175738
22000,175,ml,0.263526840423
22000,175,simple,0.510849009724
22000,200,dc,0.559563663845
22000,200,ml,0.281333767341
22000,200,simple,0.630222182342
22000,225,dc,0.672327007605
22000,225,ml,0.420386213428
22000,225,simple,0.718095239283
22000,250,dc,0.775385758012
22000,250,ml,0.436320302052
22000,250,simple,0.956810030093
22000,275,dc,1.38039983147
22000,275,ml,0.570465763029
22000,275,simple,1.63069683554
22000,300,dc,1.41944707786
22000,300,ml,0.704623950736
22000,300,simple,1.61659009623
24000,50,dc,0.102246972968
24000,50,ml,0.0499448286871
24000,50,simple,0.106819848665
24000,75,dc,0.174164895133
24000,75,ml,0.0708388953825
24000,75,simple,0.179250623765
24000,100,dc,0.221523580949
24000,100,ml,0.117200361686
24000,100,simple,0.246002562886
24000,125,dc,0.323012105471
24000,125,ml,0.186219207328
24000,125,simple,0.350442706885
24000,150,dc,0.377091377739
24000,150,ml,0.230348988554
24000,150,simple,0.39831983341
24000,175,dc,0.529634901045
24000,175,ml,0.258217033979
24000,175,simple,0.583886250248
24000,200,dc,0.506757549729
24000,200,ml,0.329701442966
24000,200,simple,0.543217501147
24000,225,dc,0.713999440043
24000,225,ml,0.480894544009
24000,225,simple,0.749994317207
24000,250,dc,0.824169221658
24000,250,ml,0.479476974506
24000,250,simple,0.922944985882
24000,275,dc,0.97565204644
24000,275,ml,0.508505473485
24000,275,simple,1.05463548115
24000,300,dc,1.05767637851
24000,300,ml,1.22237514536
24000,300,simple,1.24839857745
26000,50,dc,0.0990913491769
26000,50,ml,0.0490568109773
26000,50,simple,0.10496082737
26000,75,dc,0.157581004593
