teff,vsini,addmode,rms
7000,50,dc,0.0258062052975
7000,50,ml,0.0246786224632
7000,50,simple,0.025812560382
7000,75,dc,0.0457214759796
7000,75,ml,0.0416710149652
7000,75,simple,0.0457462081173
7000,100,dc,0.0872497148954
7000,100,ml,0.0989467689849
7000,100,simple,0.0870925832583
7000,125,dc,0.190593138616
7000,125,ml,0.263292581021
7000,125,simple,0.188810048765
7000,150,dc,0.125246051485
7000,150,ml,0.170363648334
7000,150,simple,0.128080316493
7000,175,dc,0.229584929522
7000,175,ml,0.508881272911
7000,175,simple,0.224531552433
7000,200,dc,0.331723498086
7000,200,ml,0.542744665389
7000,200,simple,0.330560986708
7000,225,dc,0.680329182176
7000,225,ml,1.10065183531
7000,225,simple,0.665152488748
7000,250,dc,0.957309890857
7000,250,ml,1.70070354247
7000,250,simple,0.930132838947
7000,275,dc,1.16010445148
7000,275,ml,1.77614613132
7000,275,simple,1.13899610998
7000,300,dc,1.82504035314
7000,300,ml,2.40106136884
7000,300,simple,1.78613584376
8000,50,dc,0.0367195290511
8000,50,ml,0.0361960758198
8000,50,simple,0.0367293281636
8000,75,dc,0.0544949860353
8000,75,ml,0.05485957491
8000,75,simple,0.0545375107445
8000,100,dc,0.0939088799667
8000,100,ml,0.10996834523
8000,100,simple,0.0937842879761
8000,125,dc,0.127366229592
8000,125,ml,0.140560376377
8000,125,simple,0.127552653151
8000,150,dc,0.154911972099
8000,150,ml,0.224482205806
8000,150,simple,0.154607572948
8000,175,dc,0.416147279926
8000,175,ml,0.252406600348
8000,175,simple,0.427346091495
8000,200,dc,0.356551268819
8000,200,ml,0.24177706832
8000,200,simple,0.366309762284
8000,225,dc,0.534514121845
8000,225,ml,1.07346587761
8000,225,simple,0.513564645158
8000,250,dc,1.15487118618
8000,250,ml,2.1384119169
8000,250,simple,1.10473482049
8000,275,dc,1.13434628553
8000,275,ml,2.03421799386
8000,275,simple,1.09131151228
8000,300,dc,2.09753047916
8000,300,ml,3.07253161312
8000,300,simple,2.02893076003
9000,50,dc,0.05539582035
9000,50,ml,0.0470775586798
9000,50,simple,0.0559003656554
9000,75,dc,0.105739571361
9000,75,ml,0.0956379378072
9000,75,simple,0.107203583066
9000,100,dc,0.177438227973
9000,100,ml,0.125398979256
9000,100,simple,0.183583121442
9000,125,dc,0.185772595704
9000,125,ml,0.166827291311
9000,125,simple,0.19253625647
9000,150,dc,0.254772007632
9000,150,ml,0.225512994946
9000,150,simple,0.265356055037
9000,175,dc,0.348232896394
9000,175,ml,0.265528783463
9000,175,simple,0.378870530933
9000,200,dc,0.408887485939
9000,200,ml,0.355052685425
9000,200,simple,0.452488490122
9000,225,dc,1.50096333978
9000,225,ml,0.576661932176
9000,225,simple,1.50539535913
9000,250,dc,1.2383489756
9000,250,ml,0.572009738939
9000,250,simple,1.16235778933
9000,275,dc,1.60871621139
9000,275,ml,0.532071852909
9000,275,simple,1.64443243871
9000,300,dc,1.20230001508
9000,300,ml,0.960365191936
9000,300,simple,1.17342107103
10000,50,dc,0.0946722775159
