amplitude_0,amplitude_1,x_0_1,y_0_1,amplitude_2,x_0_2,y_0_2,x_gamma_2,y_gamma_2,theta_2,alpha_2,x_gamma_1,y_gamma_1,alpha_1,rho,theta,flux1,flux2,delta_m
220.615628576,42424.4523903,482.159165969,515.985800153,640533.330687,489.047040782,535.250560091,3.05378730954,2.42214480063,3.02322858551,2.31318248819,3.05378730954,2.42214480063,2.31318248819,0.463498029576,-24.5271286919,1043994.42099,14677270.7348,-2.86986781849
211.918211081,46882.15708,482.274024787,515.985002044,636176.747311,489.050399274,535.255614673,3.09404728018,2.41740804417,3.01579598746,2.32434677291,3.09404728018,2.41740804417,2.32434677291,0.46232790183,-24.1711805616,1037101.56191,14506926.7237,-2.86438532263
215.798656751,43765.4606658,482.14118637,515.994450835,637107.98913,489.055918143,535.249433617,3.16813919475,2.42372278684,3.0412163766,2.41069150862,3.16813919475,2.42372278684,2.41069150862,0.463616107132,-24.6219752754,977563.804083,14563762.042,-2.9328211541
220.327437065,45707.7986312,482.213193959,516.122744682,637140.43471,489.049585737,535.258838308,3.12516957464,2.42968569633,3.04097537158,2.36878377444,3.12516957464,2.42968569633,2.36878377444,0.460338747029,-24.5098830745,986855.142296,14570739.1425,-2.92307043671
208.048836938,42470.8739446,482.078307339,515.954393586,636190.643876,489.058758721,535.251657813,3.16336939094,2.40903849772,3.02730212995,2.39887597785,3.16336939094,2.40903849772,2.39887597785,0.465225200786,-24.7792242356,957986.07318,14514421.1815,-2.95110131456
214.614698594,43798.3715266,482.25528921,515.917560114,634991.064251,489.042838501,535.251693428,3.11360233571,2.42201138406,3.02503885405,2.33863708261,3.11360233571,2.42201138406,2.33863708261,0.463723998892,-24.1362110669,999691.412838,14664266.1468,-2.91598593142
211.465831874,43075.6266211,482.177197752,516.034537731,635895.672079,489.044789738,535.248198092,3.1800491692,2.40993637972,3.034523162,2.4141700595,3.1800491692,2.40993637972,2.4141700595,0.462245221508,-24.5208204592,1086637.85029,14630726.7324,-2.82295267568
214.520321823,42224.8201405,482.13943592,516.003783428,637081.078479,489.050652242,535.247952008,3.11548867263,2.42512018281,3.02785444365,2.33322955624,3.11548867263,2.42512018281,2.33322955624,0.463360018155,-24.623125232,980717.857888,14657814.7837,-2.93631286551
206.208817738,42704.0646647,482.183912208,515.895185671,635584.326561,489.053658069,535.241822905,3.17866127427,2.41848520091,3.03374777545,2.39519354265,3.17866127427,2.41848520091,2.39519354265,0.464918702457,-24.3794172789,928806.329753,14556596.3036,-2.98783667876
209.628326931,45621.9291637,482.264964698,516.024132896,635921.40229,489.052941211,535.246417975,3.11862937801,2.41600468027,3.0182118407,2.33634202427,3.11862937801,2.41600468027,2.33634202427,0.461496794665,-24.2612030247,979093.828032,14663307.3641,-2.93851906305
212.788556366,41200.2655947,482.080194895,515.993633898,637578.573005,489.050115293,535.249941704,3.1605945375,2.42202089308,3.04110679044,2.39853706834,3.1605945375,2.42202089308,2.39853706834,0.464288078065,-24.7925653471,1034123.92077,14433430.8908,-2.8619924825
215.286791425,45064.3567594,482.187999924,516.010847943,635110.80692,489.057223957,535.253275282,3.12063555752,2.42204121448,3.02998377321,2.35057707775,3.12063555752,2.42204121448,2.35057707775,0.462836868951,-24.4937432941,932543.188989,14577853.5689,-2.98506157262
214.76021005,43020.2674364,482.006943634,516.101927306,635912.889966,489.060744061,535.250844293,3.11643292146,2.4237882997,3.02674003071,2.32903584856,3.11643292146,2.4237882997,2.32903584856,0.463149769859,-25.1757064676,1013173.96108,14566540.5525,-2.89418100622
216.230235508,42403.6854205,482.177541835,515.928766249,640910.763721,489.053808112,535.23579042,3.12975800271,2.42140215966,3.02473807545,2.37455747815,3.12975800271,2.42140215966,2.37455747815,0.464204910951,-24.4437407251,991730.468245,14659484.0303,-2.92431257187
212.143452145,45356.9417804,482.116733965,516.111628936,632236.456509,489.053324928,535.26204593,3.20519059931,2.41299202541,3.03654676304,2.41899661143,3.20519059931,2.41299202541,2.41899661143,0.461793628001,-24.8082124566,966059.411397,14443654.9775,-2.93668317474
215.08636109,44087.0754893,482.011565705,515.966768492,637042.280721,489.064318557,535.241356546,3.15149351092,2.41874398873,3.02905804316,2.36644871185,3.15149351092,2.41874398873,2.36644871185,0.465627290544,-25.0291904112,1031683.31337,14442617.6397,-2.86524876863
216.059246844,44730.7680897,482.00223144,515.910692115,639637.818207,489.048795069,535.254966448,3.06838961241,2.42925834902,3.02352151271,2.29264149414,3.06838961241,2.42925834902,2.29264149414,0.466936225754,-24.9312744674,978266.669188,14556201.1486,-2.93147697891
221.028346268,44108.7875956,482.080186958,515.940728318,640876.883525,489.05037678,535.250570033,3.13152029324,2.40819601519,3.02143720197,2.38436354779,3.13152029324,2.40819601519,2.38436354779,0.465354831848,-24.7332083368,955320.344241,14523056.1937,-2.95477247827
213.850944653,44892.1525597,482.152294952,516.122655554,638377.168541,489.061249594,535.241941925,3.13798553315,2.42133055176,3.03287930762,2.37957935443,3.13798553315,2.42133055176,2.37957935443,0.460851007053,-24.7568993898,990570.407368,14465683.1949,-2.91113400008
220.363047696,46352.1251672,482.357854384,516.10306979,637622.445534,489.051157412,535.256401985,3.15681755888,2.41808464567,3.03416848894,2.38292941386,3.15681755888,2.41808464567,2.38292941386,0.459035953222,-24.0387891243,998471.120311,14526282.1053,-2.9070474154
212.563279275,42966.0746931,482.174474439,515.807168508,637705.832688,489.057319357,535.258020662,3.19173532357,2.41691843219,3.03816600555,2.43010240255,3.19173532357,2.41691843219,2.43010240255,0.467147266989,-24.3051912634,1035165.19138,14489137.7417,-2.86508220292
209.372116382,43820.6746396,482.281776392,515.99888959,629140.741793,489.061435287,535.251704226,3.16801020904,2.42444573851,3.04450306648,2.37324853594,3.16801020904,2.42444573851,2.37324853594,0.462010348061,-24.2011890891,1004216.43263,14496665.1684,-2.89860196082
219.307440764,44294.9728867,482.173766882,516.044811043,638965.082868,489.047091018,535.257682917,3.12073388586,2.42446093848,3.02880192134,2.35169710492,3.12073388586,2.42446093848,2.35169710492,0.462296138172,-24.539667704,1000310.86113,14665194.2355,-2.91538208786
212.877983115,43877.9493944,482.17915549,515.952961021,636626.469652,489.046984413,535.249297476,3.15814092664,2.4195860655,3.02769967364,2.37724409276,3.15814092664,2.4195860655,2.37724409276,0.463894320727,-24.4292690595,1052828.77617,14542056.0976,-2.85067017244
211.433173138,43885.5312471,482.224535935,516.098514006,639782.52465,489.059687117,535.262121411,3.10251963174,2.41698034639,3.01883457798,2.32879178287,3.10251963174,2.41698034639,2.32879178287,0.460872165057,-24.4750808557,1068977.84082,14498442.2236,-2.8308815989
215.226455509,42915.2246531,482.282806413,515.917452962,642983.914453,489.041983729,535.255049311,3.08317788049,2.42121500386,3.02296976744,2.32880291354,3.08317788049,2.42121500386,2.32880291354,0.46346899209,-24.0434376678,1009587.11347,14819268.4575,-2.91670741752
216.921789087,44285.4971825,482.332703642,515.881725872,640799.364842,489.053986067,535.248448333,3.09567528973,2.41493177299,3.01534919019,2.34564007972,3.09567528973,2.41493177299,2.34564007972,0.463620352144,-23.892634336,987326.48475,14540833.9511,-2.92032132013
217.303828916,42098.1653105,482.042939342,515.969442394,636315.764897,489.051526707,535.255059096,3.12424766909,2.41112052073,3.02530369072,2.37357696008,3.12424766909,2.41112052073,2.37357696008,0.465324582964,-24.8797340519,1000721.45305,14621794.8285,-2.91171868882
215.357667785,43098.6124636,482.145970714,516.007213435,636663.687534,489.048541171,535.244920847,3.1763002114,2.41855588963,3.03837140223,2.40984182289,3.1763002114,2.41855588963,2.40984182289,0.463130709339,-24.6033538905,1061397.87175,14766293.7555,-2.85848322851
213.053048669,43055.2182166,482.121910291,515.8691261,632625.809697,489.05056679,535.248307667,3.19686291648,2.41422821777,3.04398510948,2.43337286468,3.19686291648,2.41422821777,2.43337286468,0.466249450415,-24.5267297282,1030322.00856,14580541.1662,-2.87700166644
211.764070156,41308.1953472,482.133046712,515.960595132,638957.94702,489.044025763,535.239384741,3.13033546896,2.4261226215,3.03198668812,2.3710749246,3.13033546896,2.4261226215,2.3710749246,0.464045969623,-24.5835982783,988484.827296,14740213.4627,-2.93383441339
211.441547214,40796.2259539,482.067826638,516.00780048,635524.034772,489.046733846,535.242953305,3.1807168973,2.41405691997,3.03714257978,2.41638178945,3.1807168973,2.41405691997,2.41638178945,0.463973538781,-24.8444234262,1009805.65659,14645703.4214,-2.90368109049
210.40961401,43049.9690293,482.113732286,516.030497371,638224.536824,489.052252241,535.237301832,3.09939603024,2.41854823612,3.02387292589,2.34051452648,3.09939603024,2.41854823612,2.34051452648,0.462936396799,-24.7504636842,1009954.82258,14451205.9729,-2.88900535942
210.545670117,45278.5535686,482.119313129,515.891659079,638552.469282,489.051836933,535.259317208,3.0995879185,2.41209394,3.01549975046,2.33509616119,3.0995879185,2.41209394,2.33509616119,0.466065053213,-24.551557512,1006002.03203,14496743.1987,-2.89667896938
215.59980953,43138.0481164,482.218076062,516.076764976,635608.821123,489.044846343,535.248122331,3.15213089436,2.41858215775,3.03442563447,2.38829547862,3.15213089436,2.41858215775,2.38829547862,0.460929390707,-24.4400367054,1007585.23763,14629347.819,-2.90485792412
211.805263309,45344.4682032,482.29073903,515.944070458,637938.14566,489.056351026,535.252436403,3.10532671545,2.42177335856,3.0267398795,2.3397384519,3.10532671545,2.42177335856,2.3397384519,0.462958531916,-24.0957456044,994646.645512,14631531.6927,-2.91905242514
219.071486144,44198.354276,482.210878427,515.99541525,632960.90183,489.045204212,535.261509018,3.17786379937,2.42124379153,3.0440331945,2.41194133957,3.17786379937,2.42124379153,2.41194133957,0.46290439681,-24.3580478315,995585.833132,14588719.9478,-2.91484619833
209.044491881,43058.9011436,482.149466534,515.989767612,637732.258762,489.049415954,535.257256998,3.13360258041,2.41434231712,3.01811620561,2.35854246627,3.13360258041,2.41434231712,2.35854246627,0.463692742038,-24.5618044839,1017380.08843,14766523.0406,-2.90448753439
212.6880303,42270.1556458,482.15133094,516.092293172,638858.168595,489.047347833,535.254085103,3.09964347979,2.41647726175,3.01798688963,2.3342411197,3.09964347979,2.41647726175,2.3342411197,0.461544450044,-24.668241979,945675.142233,14473784.9849,-2.96210035812
219.562148523,44025.2612836,482.153982225,515.945458975,633867.659884,489.057669584,535.256682997,3.18123940888,2.41370361801,3.0261558233,2.38919027209,3.18123940888,2.41370361801,2.38919027209,0.464606630026,-24.5246338278,979509.440951,14760246.277,-2.94521244385
214.052842845,46010.6370942,482.078302151,516.037349338,634027.372384,489.043447687,535.25396215,3.16663732296,2.41712012973,3.03838556622,2.41519629476,3.16663732296,2.41712012973,2.41519629476,0.463443642184,-24.8224885837,1030285.23135,14440030.5511,-2.86652659405
217.665353167,43255.9192778,482.208375981,515.944015262,641608.534699,489.052287916,535.253670089,3.06494702789,2.41491203618,3.01445231881,2.31391615189,3.06494702789,2.41491203618,2.31391615189,0.463883332242,-24.3397021329,1018590.11237,14659668.8043,-2.89531175654
212.411891066,44476.9802626,482.160450424,516.145566586,634965.278931,489.047244416,535.248277302,3.15740984156,2.41641268511,3.03167130791,2.37914582953,3.15740984156,2.41641268511,2.37914582953,0.460262117393,-24.7060943422,1018264.79756,14718376.2387,-2.89999792591
213.456158914,43433.2145654,482.332029473,516.057271703,640753.271403,489.050636383,535.252347741,3.06167796602,2.42389702616,3.02355463051,2.31288051102,3.06167796602,2.42389702616,2.31288051102,0.460158681152,-24.0726574448,1123475.07843,14575507.0278,-2.78265057024
213.989859113,45430.1917445,482.187381706,516.169415494,636713.493142,489.048967772,535.249100394,3.1258540034,2.41793466661,3.03093845364,2.36386875214,3.1258540034,2.41793466661,2.36386875214,0.45950975181,-24.6528684038,914788.798173,14547227.3285,-3.00364846915
206.989451969,45217.2168653,482.122355865,516.134945336,638902.983473,489.050546466,535.254410715,3.07473145664,2.41718632584,3.0134022631,2.3063779017,3.07473145664,2.41718632584,2.3063779017,0.461080273217,-24.8170240294,991850.142262,14599083.4276,-2.91969882608
210.761889896,45335.2453132,482.017982033,515.94043731,628014.39169,489.050304971,535.260053725,3.17631247972,2.41674471254,3.03547744942,2.38460042501,3.17631247972,2.41674471254,2.38460042501,0.46627901029,-24.9149898115,925777.720951,14390537.1933,-2.97892570277
213.175647588,43742.1624161,482.097119509,516.03377803,635916.172708,489.057970378,535.245481188,3.15257596942,2.41710046258,3.02802019325,2.37033920463,3.15257596942,2.41710046258,2.37033920463,0.463295689823,-24.8146425995,981856.010908,14560187.3102,-2.927797897
216.785951713,42896.3793422,482.166419482,516.00147729,638181.145753,489.056508627,535.259449761,3.10577067918,2.41734239417,3.02289886871,2.34343890631,3.10577067918,2.41734239417,2.34343890631,0.46338866849,-24.5416385096,997799.131783,14499272.9649,-2.90575776075
210.651427899,42647.2723405,482.180977854,516.03751771,640006.06456,489.056586798,535.245810271,3.09603544847,2.41608112396,3.01926597488,2.32985865185,3.09603544847,2.41608112396,2.32985865185,0.462231566635,-24.5519619783,1028625.14987,14489989.0448,-2.87202729629
213.60317191,44134.2703089,482.101799177,515.833560253,637162.549914,489.046383036,535.25132251,3.11065123949,2.42873200614,3.03215913506,2.33270142716,3.11065123949,2.42873200614,2.33270142716,0.467202467619,-24.5333454862,1002089.57819,14581333.9373,-2.90722677675
216.405140974,44961.3926189,482.26601671,515.925051212,636365.359735,489.056307282,535.24476395,3.14411268338,2.41485466354,3.0262265931,2.38013124847,3.14411268338,2.41485466354,2.38013124847,0.463467493891,-24.1606804799,977452.722458,14541470.6348,-2.9312814251
212.628988423,44533.6664238,482.100170135,516.033762378,639354.070905,489.055720251,535.254422434,3.14216755643,2.41896178369,3.03080599394,2.38698462851,3.14216755643,2.41896178369,2.38698462851,0.463411356645,-24.7879879062,1003819.20653,14530974.9086,-2.90159812969
218.223233931,45167.5397189,482.00796267,516.033310771,636147.55483,489.045214532,535.2742149,3.08723067049,2.41902374215,3.02212832559,2.32060345036,3.08723067049,2.41902374215,2.32060345036,0.464775973961,-25.019331866,1072328.5546,14589404.7245,-2.83427425355
211.162051644,41986.0661315,482.106372919,515.957878057,635395.414996,489.059086211,535.245507641,3.11757476881,2.42582615973,3.03820106808,2.3538258659,3.11757476881,2.42582615973,2.3538258659,0.464708832765,-24.703770107,1045721.9953,14615201.2591,-2.86347139327
213.85566103,44387.0347966,482.05801184,516.056413793,644195.398572,489.055691355,535.252274924,3.09394376885,2.42621908123,3.03135608452,2.36121897109,3.09394376885,2.42621908123,2.36121897109,0.463414908086,-24.9474109423,965086.242937,14532398.0382,-2.94442789912
212.960574058,45340.0910881,482.152538707,516.023031049,639539.193194,489.047778517,535.252589434,3.09483821739,2.4192168051,3.01886097341,2.32752222925,3.09483821739,2.4192168051,2.32752222925,0.462883191183,-24.5895703121,982427.815476,14703777.7426,-2.93782069823
209.875336784,44150.3213418,482.068817863,516.142645337,637419.334407,489.047410003,535.2441462,3.1378849768,2.4062818109,3.02011021056,2.37308879577,3.1378849768,2.4062818109,2.37308879577,0.461317815794,-24.9953295381,968529.831291,14556543.6501,-2.94236316308
212.111067152,44120.2584706,482.048300606,515.951704637,636292.055519,489.044452167,535.244273383,3.16988571788,2.418462986,3.03527325807,2.3970638654,3.16988571788,2.418462986,2.3970638654,0.465316300423,-24.8332831554,1085112.65848,14794922.6982,-2.83659467637
220.306006968,44647.0099232,482.236850744,515.857711034,641849.529856,489.054118857,535.247397367,3.04876206834,2.42899814121,3.01879981069,2.28555711873,3.04876206834,2.42899814121,2.28555711873,0.465173432658,-24.1681264821,1018788.33656,14554295.5655,-2.88726806467
209.541872887,46217.286745,482.129277361,515.985704479,640588.473213,489.055729309,535.253323145,3.13745351754,2.41695461575,3.02541424602,2.36533727948,3.13745351754,2.41695461575,2.36533727948,0.464004141019,-24.6443832643,1057863.77866,14644932.8499,-2.85314409395
213.656071868,44686.8084814,482.034272583,516.103560167,644492.132844,489.054366915,535.256242959,3.07458349958,2.41494598453,3.01463110604,2.34012386194,3.07458349958,2.41494598453,2.34012386194,0.46282391906,-25.0664370485,927884.839075,14706574.4678,-3.00004361906
213.870275132,44488.2217974,482.120430004,516.016199285,637841.549825,489.063119021,535.254339591,3.08216241886,2.41515367099,3.01550906731,2.32235996994,3.08216241886,2.41515367099,2.32235996994,0.463607916715,-24.7281575887,1004668.45157,14531304.7021,-2.90070461153
214.435338892,44490.1972007,482.263568227,516.056326352,641746.88295,489.056669682,535.256185455,3.12165898031,2.40380099981,3.01136355506,2.36629092722,3.12165898031,2.40380099981,2.36629092722,0.461108532521,-24.3022725773,1016915.70806,14505285.5055,-2.88560331387
218.236244589,41970.8909392,482.256618382,516.181531139,636041.437933,489.053229625,535.247520263,3.21240063744,2.42375958318,3.05439630302,2.46124807922,3.21240063744,2.42375958318,2.46124807922,0.458481357289,-24.4633149827,946871.970787,14499570.8814,-2.96265972142
212.011863504,43753.0170201,482.08433653,516.012317136,631900.741273,489.039726548,535.2478724,3.19242323744,2.41834977409,3.03696710146,2.40162312046,3.19242323744,2.41834977409,2.40162312046,0.463705372725,-24.7706837089,1076674.92167,14527164.6997,-2.82524065725
219.636152506,47935.599242,482.26825772,515.980302987,635249.874256,489.049126996,535.255432591,3.11852877385,2.42045260416,3.03060289558,2.35709443369,3.11852877385,2.42045260416,2.35709443369,0.462469589169,-24.1803109081,928634.291857,14737478.8062,-3.00144619162
206.463358445,45186.8720005,482.235346563,515.856766954,634188.181456,489.056059895,535.252719962,3.18449437857,2.40893089152,3.03424821949,2.4242120922,3.18449437857,2.40893089152,2.4242120922,0.465338009065,-24.1720039167,917452.005517,14482804.2218,-2.99567326395
211.062652193,43917.0604262,482.314853618,515.96579847,640231.165504,489.054496983,535.24664653,3.09630328982,2.41523564524,3.01652347696,2.33186458461,3.09630328982,2.41523564524,2.33186458461,0.46211233182,-24.0443869454,1062197.15164,14495472.2003,-2.8375680872
215.739391843,44610.5302128,482.079827731,516.14529082,640461.325907,489.047146206,535.245629113,3.11950891837,2.41010775183,3.01864256211,2.35360518824,3.11950891837,2.41010775183,2.35360518824,0.461161526315,-24.9613773289,1011434.10146,14646852.6173,-2.90201679834
214.414702349,47128.2613485,481.942174868,516.081653392,637698.451773,489.056632125,535.245934005,3.16942818845,2.42735312915,3.04410106727,2.39694179788,3.16942818845,2.42735312915,2.39694179788,0.464178154186,-25.3464514601,1001635.75371,14377379.5336,-2.8924247974
210.101656459,43582.490525,482.120486242,516.028269398,638899.696227,489.05320273,535.245665313,3.08948020641,2.4131978796,3.01002742343,2.31814656013,3.08948020641,2.4131978796,2.31814656013,0.463078905906,-24.7203920052,1019503.87515,14638443.0277,-2.89276501481
221.004919674,42462.53987,482.074412079,515.966913815,639131.660907,489.056870008,535.251718817,3.1072075523,2.41597973223,3.01946625899,2.34943297629,3.1072075523,2.41597973223,2.34943297629,0.465001263729,-24.7994757264,968025.094745,14609267.4274,-2.94685455775
215.443877621,42717.9401004,482.2547125,516.014913811,633255.219023,489.058810215,535.249155564,3.16518720665,2.4287935482,3.04639025717,2.39785128088,3.16518720665,2.4287935482,2.39785128088,0.461920812551,-24.2986006675,960613.714187,14687507.7945,-2.96099831887
206.612953416,41657.8272809,482.229273637,515.939296924,636996.051576,489.049785285,535.260585295,3.14988743804,2.4198514221,3.03911571625,2.39228015443,3.14988743804,2.4198514221,2.39228015443,0.463845808792,-24.2536098577,1027593.20808,14632237.3928,-2.88372378345
209.331372711,45037.1624805,481.998132393,515.9785472,637951.058683,489.052781442,535.248379309,3.08150590391,2.42173659107,3.02190172577,2.32053997182,3.08150590391,2.42173659107,2.32053997182,0.465555464143,-25.0404602506,1054764.33131,14625116.7547,-2.85485976716
221.261638386,42861.6867616,482.217577375,516.05539481,638172.579091,489.053151876,535.244318291,3.16064318903,2.41301403833,3.02904322851,2.40143654631,3.16064318903,2.41301403833,2.40143654631,0.461381250791,-24.4480462278,997291.526086,14478664.93,-2.90476597189
214.370600482,48902.7735396,481.93861409,516.027617229,637287.452389,489.048475851,535.251095407,3.15099760027,2.42573229283,3.0358133669,2.37213214826,3.15099760027,2.42573229283,2.37213214826,0.46529413849,-25.2642710908,944978.579412,14523655.6868,-2.966634951
213.140243531,44379.4659573,482.171876337,515.88050456,635313.068577,489.04374208,535.26408966,3.16272728334,2.40936722348,3.03081758499,2.39737575222,3.16272728334,2.40936722348,2.39737575222,0.465679587056,-24.3451566232,1101462.70682,14626453.2184,-2.80792307248
218.258283503,44840.9995946,482.281918586,516.015899092,641426.160555,489.051682509,535.253758664,3.07614131853,2.42115346117,3.01791053258,2.31532476096,3.07614131853,2.42115346117,2.31532476096,0.461598370384,-24.1866241924,1053272.07654,14547692.0888,-2.85063382418
213.214711192,42704.2677702,482.201993376,515.955004683,638731.896739,489.049609984,535.25718711,3.12298108183,2.41768590917,3.02228272384,2.37032659168,3.12298108183,2.41768590917,2.37032659168,0.463777140185,-24.3595772582,996112.72541,14788105.0357,-2.92901009576
219.404934091,47893.9474378,482.148317303,516.030485945,641509.357912,489.057089691,535.253132247,3.10521127578,2.42911470378,3.02950495506,2.33463904192,3.10521127578,2.42911470378,2.33463904192,0.4629034617,-24.6396539456,1052542.9018,14488202.7256,-2.84693676855
214.745538159,41318.880183,482.108498168,516.046613951,634929.355505,489.05472524,535.246611524,3.17375165602,2.41387281094,3.03092174122,2.40451638156,3.17375165602,2.41387281094,2.40451638156,0.462891527028,-24.7822234832,986599.571389,14550317.4716,-2.92182886697
210.812874107,44131.2776883,482.187762426,516.031820003,638998.152506,489.050301672,535.259991492,3.11121844039,2.43097277913,3.0373292386,2.34992132093,3.11121844039,2.43097277913,2.34992132093,0.462475458579,-24.4887434259,983441.989167,14705137.9662,-2.93680089111
214.793910432,45490.9109122,482.230343167,516.107827944,641483.48607,489.042258235,535.259065347,3.09383623758,2.42614879179,3.02324467082,2.33000000134,3.09383623758,2.42614879179,2.33000000134,0.460356632179,-24.4158178485,949188.815223,14452060.8793,-2.95644292576
218.373002482,43500.4241649,482.267335574,516.107694861,632759.466924,489.050300194,535.253902162,3.14388763195,2.43490277763,3.03870204033,2.33822993563,3.14388763195,2.43490277763,2.33822993563,0.459921974125,-24.3301858868,1056865.8763,14436560.2395,-2.83860962897
