amplitude_0,amplitude_1,x_0_1,y_0_1,amplitude_2,x_0_2,y_0_2,x_gamma_2,y_gamma_2,alpha_2,x_gamma_1,y_gamma_1,alpha_1,flux1,flux2,delta_m,rho,theta
216.700924994,60355.8397739,460.948059748,465.271339686,620008.427939,510.181396607,512.026891569,3.11013553503,2.78814560053,1.95332355046,3.11013553503,2.78814560053,1.95332355046,1723892.18458,17708789.7623,-2.52919695325,1.49691808343,-46.725387501
221.060232982,63064.3074102,460.710467482,465.453630346,624858.825497,510.209791022,512.030621945,3.07583900703,2.7095500507,1.92629203405,3.07583900703,2.7095500507,1.92629203405,1781471.12308,17651346.0932,-2.48999760828,1.4985498474,-46.9874608667
205.991871465,60933.2635672,461.116844583,465.454872535,626320.638407,510.193047908,512.041408348,2.9640168877,2.63560334029,1.84249654629,2.9640168877,2.63560334029,1.84249654629,1772877.79904,18223096.7394,-2.52985844777,1.49184350858,-46.737470793
214.460572048,57136.425435,460.833688284,465.401667829,627959.203124,510.201054638,512.039636629,3.04771145547,2.70997876716,1.91475291468,3.04771145547,2.70997876716,1.91475291468,1619598.08337,17800260.8701,-2.60254778241,1.49732313472,-46.8743473059
218.713372891,61610.6105512,461.045584357,465.463417172,618022.672832,510.198425944,512.028101038,3.06246714601,2.73096738947,1.90675851962,3.06246714601,2.73096738947,1.90675851962,1783986.18402,17895387.2149,-2.50337403318,1.49275442394,-46.7952077074
221.038083249,60051.0201091,460.976331856,465.426084855,622770.733942,510.19879871,512.039042448,3.05998162472,2.72103324824,1.91454901255,3.05998162472,2.72103324824,1.91454901255,1716421.37021,17800508.8851,-2.53952126286,1.4946038549,-46.8059982385
214.078630694,60040.8186819,460.912676191,465.430493131,618469.169123,510.185898893,512.044595817,3.03548890889,2.65850406287,1.85532610207,3.03548890889,2.65850406287,1.85532610207,1777702.53013,18311825.2226,-2.53218136007,1.49544205217,-46.8346148409
213.329172736,58441.4340218,460.967758043,465.468879096,621230.205309,510.190299419,512.043020552,3.03938471578,2.72855183834,1.89895788395,3.03938471578,2.72855183834,1.89895788395,1692467.30511,17990895.209,-2.56633121539,1.4940234806,-46.8297378289
230.509861491,60143.8162295,460.832227544,465.468051277,622988.424564,510.192014164,512.040704192,3.05251322917,2.69109578207,1.89708869705,3.05251322917,2.69109578207,1.89708869705,1728840.56385,17907906.4951,-2.53822468554,1.49622310405,-46.9098375369
214.289270737,56941.4797579,460.883157866,465.423651447,615014.842933,510.181345946,512.024146851,3.00267094989,2.73797610201,1.8705611454,3.00267094989,2.73797610201,1.8705611454,1687745.88938,18229084.7706,-2.58364451407,1.4956422975,-46.8573263142
229.040506739,58825.1613575,460.689146548,465.354281342,622979.02163,510.197872086,512.02075701,3.1210354754,2.7695123755,1.96405007467,3.1210354754,2.7695123755,1.96405007467,1656220.33126,17539974.6521,-2.56227712451,1.50003941311,-46.9382849546
218.243632775,58029.3125858,460.758165715,465.228115737,625646.006497,510.195065255,512.012052379,3.03124890445,2.67584467078,1.88184163757,3.03124890445,2.67584467078,1.88184163757,1675362.79005,18063047.2456,-2.58170538092,1.5006341919,-46.8254997499
206.295321266,60233.4425883,460.959916856,465.505731178,618002.11427,510.189029119,512.029001231,3.09224033272,2.74323550349,1.92355842666,3.09224033272,2.74323550349,1.92355842666,1736949.90458,17821335.7614,-2.5278823986,1.49336803138,-46.8646183146
220.576517883,60505.7379126,460.954559497,465.33145431,622575.780503,510.187288204,512.037793435,3.03052452982,2.67222984517,1.87130635081,3.03052452982,2.67222984517,1.87130635081,1765035.35111,18161427.3759,-2.53099142572,1.49616984534,-46.7549964561
210.15848255,61395.6024716,460.703608218,465.479441552,629499.179544,510.187553928,512.033229095,2.99485073457,2.6259360159,1.85807873264,2.99485073457,2.6259360159,1.85807873264,1765866.99544,18105776.5045,-2.52714791411,1.49795385274,-46.9927947129
209.057584577,62091.4122657,460.745675843,465.53932515,626450.402796,510.209259519,512.026463158,3.02490171512,2.70444231892,1.89123194927,3.02490171512,2.70444231892,1.89123194927,1789076.57064,18050326.6502,-2.50964034315,1.49662837924,-47.02182659
221.732575081,61703.3447928,460.946022772,465.36081266,619160.000429,510.196598024,512.025309336,3.02895134117,2.72211575837,1.88917537997,3.02895134117,2.72211575837,1.88917537997,1796034.25972,18022274.8216,-2.50373747823,1.49583086828,-46.7908029653
214.656793063,59711.0071677,460.706886394,465.18732953,618867.382756,510.183436071,512.049667575,3.05793411429,2.73642498737,1.9015430795,3.05793411429,2.73642498737,1.9015430795,1739829.40484,18032279.162,-2.53885988898,1.50245029559,-46.8006759374
225.021640195,60800.0113181,460.721447294,465.387049538,618266.314854,510.188182763,512.039294854,3.15713705864,2.79379999462,1.97090208376,3.15713705864,2.79379999462,1.97090208376,1734521.47825,17638113.2322,-2.51818111085,1.49914618661,-46.9228291876
216.301396287,61910.7864598,460.851123862,465.434689365,622819.246718,510.202141299,512.028386093,3.05909699001,2.71113751038,1.89598274631,3.05909699001,2.71113751038,1.89598274631,1798962.71504,18097505.5399,-2.50649138977,1.49639587789,-46.8919374693
213.393047541,62183.400345,460.864580817,465.466587386,623533.479175,510.195557406,512.039590332,2.95015448613,2.66156042646,1.83700483175,2.95015448613,2.66156042646,1.83700483175,1830372.97079,18353808.2515,-2.50296649064,1.49576168678,-46.8930198914
214.112845893,61710.7698615,460.866759755,465.375225884,617728.968603,510.191437402,512.025349814,3.00650816805,2.69058281057,1.87357132841,3.00650816805,2.69058281057,1.87357132841,1793568.13486,17953777.5003,-2.50109489802,1.49681414598,-46.8423308604
220.396488676,56702.898871,460.931998845,465.369074955,622370.682724,510.209239414,512.021928055,3.02265999676,2.68325987416,1.87699775754,3.02265999676,2.68325987416,1.87699775754,1645942.38059,18065891.6366,-2.60111193272,1.49608757996,-46.813298335
225.245407917,63930.7269122,460.880912566,465.300569542,627943.370574,510.198508167,512.033629327,3.00222465015,2.66159570858,1.88501015703,3.00222465015,2.66159570858,1.88501015703,1811867.92753,17796649.229,-2.48052925783,1.49794228276,-46.7877216699
213.197359556,57211.6607539,460.90056232,465.355489037,629567.856556,510.202587806,512.039494351,2.98599105705,2.6631737594,1.85977288512,2.98599105705,2.6631737594,1.85977288512,1660686.97245,18274554.6497,-2.60389755809,1.49695525824,-46.8086140474
215.179963744,60875.3528753,460.835448547,465.46693117,619513.257267,510.18862448,512.022972644,3.05647087728,2.72904250295,1.90701479859,3.05647087728,2.72904250295,1.90701479859,1757511.1778,17885785.2351,-2.51902478951,1.49586755822,-46.9161736641
219.37425184,60737.3311316,460.619139701,465.306914381,615803.317224,510.202433096,512.030648469,3.08934147781,2.75797679011,1.93287382445,3.08934147781,2.75797679011,1.93287382445,1741755.73715,17659331.4285,-2.51496751926,1.50210395141,-46.9462130807
215.325759501,59769.6865155,460.938298265,465.651794723,624983.318024,510.19445928,512.021375434,2.96469573798,2.63888051887,1.83992350177,2.96469573798,2.63888051887,1.83992350177,1746876.34157,18266316.2425,-2.54847202292,1.49150790968,-46.9743379784
