,index,star,N,feh,feh_err,logg,logg_err,teff,teff_err,spt_teff,spt_teff_err
0,0,HD 23479,1.0,0.0,0.25,4.5,0.25,7000.0,1000.0,7782.94612231,135.031197967
1,1,HD 23489,1.0,0.0,0.25,4.5,0.25,8750.0,1000.0,8853.98641627,169.077418478
2,2,HD 23567,1.0,0.0,0.25,4.5,0.25,7000.0,1000.0,7409.48241816,77.7989943678
3,3,HD 23629,1.0,0.0,0.25,4.5,0.25,9250.0,1000.0,9810.09600801,472.000611328
4,4,HD 23643,1.0,0.0,0.25,4.5,0.25,8750.0,1000.0,8549.17483698,140.715294528
5,5,HD 23733,1.0,0.0,0.25,4.5,0.25,7250.0,1000.0,7409.65617694,77.7840674618
6,6,HD 23791,1.0,0.0,0.25,4.5,0.25,7000.0,1000.0,7537.74971456,94.8249937008
7,7,HD 23863,1.0,0.0,0.25,4.5,0.25,7750.0,1000.0,7784.05951064,134.775629748
8,8,HD 23872,1.0,0.0,0.25,4.5,0.25,8750.0,1000.0,8854.07695672,168.536404451
9,9,HD 23886,1.0,0.0,0.25,4.5,0.25,8250.0,1000.0,8548.97385851,141.326999653
10,10,HD 23924,1.0,0.0,0.25,4.5,0.25,7250.0,1000.0,7783.512668,135.003261523
11,12,HIP 100221,1.0,0.0,0.25,4.0,0.25,10000.0,500.0,10862.7293234,637.220369022
12,13,HIP 100881,1.0,0.0,0.25,4.5,0.25,14000.0,1000.0,16556.4836671,309.630183775
13,14,HIP 100907,2.0,0.0,0.25,4.5,0.25,8125.0,1000.0,8548.53103343,140.874481764
14,15,HIP 101123,1.0,0.0,0.25,4.5,0.25,7750.0,1000.0,9199.7315154,197.358801901
15,16,HIP 101589,1.0,0.0,0.25,4.5,0.25,9000.0,500.0,8547.88870346,140.806166407
16,17,HIP 101716,1.0,0.0,0.25,4.5,0.25,12000.0,1000.0,12447.0395678,890.548149856
17,18,HIP 101867,1.0,0.0,0.25,3.5,0.25,10000.0,500.0,9812.31749933,473.435431768
18,20,HIP 102487,1.0,0.0,0.25,4.0,0.25,8750.0,1000.0,9199.26495173,195.87006711
19,21,HIP 10320,1.0,0.0,0.25,3.5,0.25,9000.0,500.0,10857.2224071,637.535084604
20,22,HIP 103298,1.0,0.0,0.25,4.0,0.25,9000.0,500.0,8095.51021674,67.145028062
21,23,HIP 104019,1.0,0.0,0.25,4.0,0.25,8000.0,500.0,8095.57402893,67.0299942329
22,24,HIP 104105,1.0,0.0,0.25,4.0,0.25,9750.0,1000.0,12441.9063976,891.406435335
23,25,HIP 104139,1.0,0.0,0.25,3.5,0.25,9000.0,500.0,9200.1596354,195.86597663
24,26,HIP 104365,2.0,0.0,0.25,4.5,0.25,9125.0,1000.0,9809.72477222,472.378596867
25,27,HIP 105140,1.0,0.0,0.25,4.0,0.25,9000.0,500.0,9198.93542887,196.038174895
26,28,HIP 105282,1.0,0.0,0.25,4.5,0.25,16000.0,1000.0,14607.0461362,421.882042931
27,29,HIP 105891,1.0,0.0,0.25,4.0,0.25,10500.0,2000.0,13854.3744762,502.673281269
28,30,HIP 105942,1.0,0.0,0.25,4.5,0.25,20000.0,1000.0,17482.8951361,1165.9088642
29,31,HIP 105966,1.0,0.0,0.25,3.5,0.25,9000.0,500.0,9199.34669652,196.579467204
30,32,HIP 105972,1.0,0.0,0.25,4.0,0.25,14000.0,1000.0,13858.3046513,502.338473841
31,33,HIP 10670,1.0,0.0,0.25,4.5,0.25,10000.0,500.0,9199.54013761,195.860374867
32,34,HIP 106711,2.0,0.0,0.25,3.5,0.25,8000.0,500.0,8549.62049089,140.85283859
33,35,HIP 106786,2.0,0.0,0.25,3.5,0.25,8000.0,500.0,7784.01109498,134.268809767
34,36,HIP 10732,2.0,0.0,0.25,4.0,0.25,9500.0,1000.0,9198.16174085,193.937230395
35,37,HIP 107517,1.0,0.0,0.25,4.5,0.25,10000.0,500.0,9198.4326618,196.346500251
36,38,HIP 107608,1.0,0.0,0.25,4.0,0.25,9000.0,500.0,8853.45424909,169.329522241
37,39,HIP 108294,1.0,0.0,0.25,4.0,0.25,9000.0,500.0,8853.24093994,168.845326694
38,40,HIP 108339,1.0,0.0,0.25,4.0,0.25,9250.0,1000.0,8853.11684688,168.736602639
39,41,HIP 109056,4.0,0.0,0.25,4.375,0.25,9800.0,1200.0,10857.8787171,633.569616653
40,42,HIP 109139,2.0,0.0,0.25,4.5,0.25,12000.0,1000.0,12443.7012411,891.115222667
41,43,HIP 109521,2.0,0.0,0.25,3.5,0.25,8000.0,500.0,8095.25610968,67.1769890702
42,44,HIP 109831,3.0,0.0,0.25,4.5,0.25,9500.0,1111.11111111,8854.05826801,168.980561235
