,star,date,HJD,corrected_rv,rv_meas_err_fixed,instrument
0,HD 23479,2014-10-17,2456947.86974,17.5312144158,10.0933914945,IGRINS
1,HD 23489,2014-10-17,2456947.88763,-2.4360214373,10.076478634,IGRINS
2,HD 23567,2014-10-18,2456948.79106,17.6422610984,10.0049490593,IGRINS
3,HD 23629,2014-10-18,2456948.81836,-8.5145299924,10.0865863632,IGRINS
4,HD 23643,2014-10-18,2456948.83116,1.7415301878,10.0749669378,IGRINS
5,HD 23733,2014-10-18,2456948.842,12.2235043427,10.00994645,IGRINS
6,HD 23791,2014-10-18,2456948.87926,20.5962986114,10.0083758847,IGRINS
7,HD 23863,2014-10-18,2456948.89518,11.1731199255,10.0614417807,IGRINS
8,HD 23872,2014-10-18,2456948.90996,-1.4489423297,10.0674337127,IGRINS
9,HD 23886,2014-10-18,2456948.92712,7.7690629966,10.0741575463,IGRINS
10,HD 23924,2014-10-18,2456948.93581,15.9466705465,10.0053524487,IGRINS
994,HIP 100069,2013-04-27,2456409.91341,-4.98043797,3.0308798718,HRS
999,HIP 100221,2013-08-19,2456523.78705,-28.3322462032,3.013507994,HRS
11,HIP 100221,2015-07-27,2457230.72294,-3.5509114592,10.0397487984,IGRINS
362,HIP 100881,2013-08-07,2456511.69331,-27.4326093368,3.0015239653,CHIRON
12,HIP 100907,2014-10-16,2456946.57153,0.3798501721,10.0394940341,IGRINS
13,HIP 100907,2015-07-27,2457230.67163,12.7062381302,10.0217630464,IGRINS
14,HIP 101123,2014-10-15,2456945.69911,-14.2980865491,10.0246899632,IGRINS
365,HIP 101589,2013-06-05,2456448.83449,-30.167528565,3.0013179422,CHIRON
732,HIP 101716,2013-10-17,2456582.60165,-24.2210872861,3.1851509321,TS23
366,HIP 101867,2013-07-16,2456489.78056,-20.019994529,3.0002724909,CHIRON
15,HIP 101909,2014-10-15,2456945.60495,-3.4677802034,10.1433762011,IGRINS
19,HIP 101909,2015-07-27,2457230.69051,-5.4444689708,10.0683191188,IGRINS
23,HIP 102487,2014-07-09,2456847.79855,-1.6915013588,10.0371722202,IGRINS
367,HIP 10320,2013-08-28,2456532.79909,21.3240511551,3.0231516905,CHIRON
24,HIP 103298,2014-10-16,2456946.5815,12.5583336749,10.0379954971,IGRINS
368,HIP 103298,2015-05-13,2457155.92654,11.0575868391,3.0026543233,CHIRON
26,HIP 103298,2015-07-27,2457230.70268,22.5500840696,10.0231951057,IGRINS
370,HIP 104019,2013-07-01,2456474.90789,24.0179865734,3.0007114119,CHIRON
28,HIP 104105,2014-10-15,2456945.68835,-22.6604672858,10.0475915541,IGRINS
371,HIP 104139,2013-06-05,2456448.89943,-4.9007139356,3.0028780733,CHIRON
29,HIP 104365,2014-07-09,2456847.80881,-43.1049617475,10.0583298125,IGRINS
35,HIP 104365,2015-08-03,2457237.82404,-11.6050358873,10.0293491998,IGRINS
372,HIP 105140,2013-07-12,2456485.91011,-9.9173964727,3.0019775863,CHIRON
1000,HIP 105282,2013-08-18,2456522.65078,-21.7552648654,3.0035150452,HRS
41,HIP 105891,2014-10-16,2456946.59475,-31.9491290169,10.1011944981,IGRINS
1001,HIP 105942,2013-08-19,2456523.87254,-15.7480505773,3.0070309645,HRS
733,HIP 105966,2013-10-20,2456585.64338,-6.152409064,3.0022122467,TS23
1002,HIP 105972,2013-08-03,2456507.81626,-4.5116980492,3.0343961904,HRS
734,HIP 10670,2013-11-22,2456618.68516,7.729442913,3.0349686965,TS23
737,HIP 106711,2013-10-19,2456584.60542,-1.7629986433,3.0242474324,TS23
738,HIP 106711,2013-11-22,2456618.52674,-2.5036666044,3.0221786543,TS23
373,HIP 106786,2014-05-17,2456794.80594,-20.8091050845,3.0024952933,CHIRON
