star,ra,dec,date,ut,jd,instrument,exptime,snr
ADS 3962 AB,+05:23:38.537500,+03:33:23.287500,2014-10-16,10:11:08.924,2456946.92441,IGRINS,280.0,173.467322351
HIP 100221,+19:57:44.341250,+46:26:39.637500,2015-07-27,05:21:02.222,2457230.72294,IGRINS,1100.0,83.6946075763
HIP 100907,+20:28:12.922500,+38:29:30.987500,2014-10-16,01:43:00.571,2456946.57153,IGRINS,224.0,121.136348508
HIP 100907,+20:28:13.580000,+38:30:24.150000,2015-07-27,04:07:09.170,2457230.67163,IGRINS,600.0,116.947568791
HIP 101123,+20:43:23.262500,+66:43:10.762500,2014-10-15,04:46:42.698,2456945.69911,IGRINS,224.0,160.287310259
HIP 101909,+20:39:47.205000,+15:54:16.650000,2014-10-15,02:31:07.604,2456945.60495,IGRINS,360.0,141.328201533
HIP 101909,+20:39:52.915000,+15:55:9.550000,2015-07-27,04:34:19.689,2457230.69051,IGRINS,720.0,86.7498090638
HIP 102487,+20:47:03.50,-21:26:41.2,2014-07-09,07:09:54.797,2456847.79855,IGRINS,480.0,83.1538705903
HIP 103298,+20:56:25.732500,+12:37:22.387500,2014-10-16,01:57:21.580,2456946.5815,IGRINS,224.0,104.01717492
HIP 103298,+20:56:27.412500,+12:38:35.575000,2015-07-27,04:51:51.201,2457230.70268,IGRINS,600.0,78.2964739984
HIP 104105,+21:05:12.277500,+78:12:3.737500,2014-10-15,04:31:13.188,2456945.68835,IGRINS,280.0,136.933585272
HIP 104365,+21:09:26.56,-21:07:10.0,2014-07-09,07:24:40.808,2456847.80881,IGRINS,480.0,99.3358005867
HIP 104365,+21:09:27.107500,-21:06:59.587500,2015-08-03,07:46:37.323,2457237.82404,IGRINS,720.0,54.2161109571
HIP 105891,+21:27:20.893750,+52:57:31.500000,2014-10-16,02:16:26.094,2456946.59475,IGRINS,224.0,91.7285858963
HIP 106786,+21:38:34.877500,-07:46:39.487500,2014-10-15,03:17:53.637,2456945.63743,IGRINS,224.0,225.156636529
HIP 10732,+02:19:0.757500,+19:58:31.487500,2014-10-15,07:45:24.322,2456945.8232,IGRINS,224.0,181.259668101
HIP 10732,+02:18:59.515000,+19:58:17.275000,2015-03-02,01:19:18.054,2457083.55507,IGRINS,240.0,110.591862496
HIP 108339,+21:57:41.048750,+12:09:28.625000,2014-10-15,03:31:08.145,2456945.64662,IGRINS,224.0,160.870388083
HIP 109056,+22:06:17.383750,+29:02:24.587500,2014-10-15,03:45:19.155,2456945.65647,IGRINS,240.0,152.708179319
HIP 109056,+22:06:15.630000,+29:02:35.175000,2014-10-16,03:42:15.654,2456946.65435,IGRINS,784.0,232.928408525
HIP 109056,+22:05:54.576667,+27:21:0.650000,2014-10-17,01:38:59.568,2456947.56874,IGRINS,1746.0,168.391059206
HIP 109056,+22:05:49.710000,+27:01:54.440000,2014-10-18,01:30:16.063,2456948.56269,IGRINS,1156.0,159.304970902
HIP 109521,+22:11:51.255000,+50:53:57.675000,2014-10-15,04:12:28.175,2456945.67533,IGRINS,224.0,204.7665486
HIP 109831,+22:15:24.765000,+43:01:52.300000,2014-10-15,03:58:57.666,2456945.66595,IGRINS,224.0,161.013324906
HIP 109831,+22:15:23.423750,+43:01:59.737500,2015-08-03,06:32:24.771,2457237.77251,IGRINS,1440.0,99.5068202322
